,key,sum(summ),sum(count),total
80,Icelandic,5.0,1,5.0
81,Fuse Links,5.0,1,5.0
82,Photo Detectors,15.0,3,5.0
83,Sutor Mantellassi,15.0,3,5.0
84,StorkSak,5.0,1,5.0
85,Coil Resistors,10.0,2,5.0
86,Label Maker Cases,10.0,2,5.0
87,Restaurants & Commercial,5.0,1,5.0
88,Latex,35.0,7,5.0
89,Scintillation Vials,10.0,2,5.0
90,Couscous,5.0,1,5.0
91,Diced,5.0,1,5.0
92,Handball,10.0,2,5.0
93,Turning Inserts,10.0,2,5.0
94,Material Transport,5.0,1,5.0
95,Push Rod Tube Seal,5.0,1,5.0
96,Glory Chen,15.0,3,5.0
97,Beckett,5.0,1,5.0
98,Barbecue Sauce,10.0,2,5.0
99,Power Windows,5.0,1,5.0
100,Adobo Sauce,5.0,1,5.0
101,Karate,5.0,1,5.0
102,Hadith,15.0,3,5.0
103,Torque Gauges,10.0,2,5.0
104,Beam Couplings,20.0,4,5.0
105,Pressure Transmitters,10.0,2,5.0
106,Beef,5.0,1,5.0
107,Auxiliary Heater & AC Control,5.0,1,5.0
108,Harmonic Balancer Repair Kits,10.0,2,5.0
109,Vegetable Bowls,10.0,2,5.0
110,Shingles & Shakes,10.0,2,5.0
111,Nuclear Chemistry,5.0,1,5.0
112,Regulation,5.0,1,5.0
113,Hydraulic Filtration,15.0,3,5.0
114,Cilantro Flakes,5.0,1,5.0
115,Ministry to the Sick & Bereaved,20.0,4,5.0
116,Flavorings & Wood Smoke,10.0,2,5.0
117,Posting Tubs,45.0,9,5.0
118,Accelerator Pumps,45.0,9,5.0
119,Clutch Fork,5.0,1,5.0
120,Vermont,25.0,5,5.0
121,Boise,15.0,3,5.0
122,Refrigerator,5.0,1,5.0
123,Nebraska,20.0,4,5.0
124,LSU,5.0,1,5.0
125,Autoradiography Supplies,5.0,1,5.0
126,Designer Pet Wind Spinners,10.0,2,5.0
127,Heterocyclic,5.0,1,5.0
128,Grill Parts & Accessories,5.0,1,5.0
129,Showing & Training,90.0,18,5.0
130,Column Shafts,20.0,4,5.0
131,Lilies,5.0,1,5.0
132,Jessica Jensen,45.0,9,5.0
133,Ohmmeters,15.0,3,5.0
134,Babysitting,15.0,3,5.0
135,Vacuum Checking,15.0,3,5.0
136,Combination,10.0,2,5.0
137,Speaker Sealant,5.0,1,5.0
138,Stuffing Side Dishes,10.0,2,5.0
139,Current Clamps,15.0,3,5.0
140,Lab Desks,10.0,2,5.0
141,Lubricators,20.0,4,5.0
142,Inductors,50.0,10,5.0
143,Writing Aids,5.0,1,5.0
144,Boston Red Sox,10.0,2,5.0
145,Throttle Ball Joints,5.0,1,5.0
146,Tabletop Accessories,5.0,1,5.0
147,Electrophoresis Systems,5.0,1,5.0
148,Jhung Yuro,5.0,1,5.0
149,Inking Plates,25.0,5,5.0
150,Linear Roller Bearings,5.0,1,5.0
151,Michelin,10.0,2,5.0
152,Air Bearings,10.0,2,5.0
153,Marching Bass Drums,5.0,1,5.0
154,Cylinder Head Alignment,5.0,1,5.0
155,Customary,60.0,12,5.0
156,Varactor Diodes,10.0,2,5.0
157,Flat Springs,20.0,4,5.0
158,Plow Bolts,15.0,3,5.0
159,Switch Encoders,10.0,2,5.0
160,Oil Supply Lines,10.0,2,5.0
161,Butterfly Valves,5.0,1,5.0
162,Drive Axle,10.0,2,5.0
163,Weaving Mats & Strips,5.0,1,5.0
164,Compressed Air Filter Cartridges,5.0,1,5.0
165,Shell Reamer Arbors,5.0,1,5.0
166,Lamp Holders,20.0,4,5.0
167,Baked,5.0,1,5.0
168,Firefighting & Prevention,20.0,4,5.0
169,Tire Chains,20.0,4,5.0
170,Almond,5.0,1,5.0
171,Engraving,15.0,3,5.0
172,Cognitive Simulation,5.0,1,5.0
173,Madison,5.0,1,5.0
174,EGR Bleed Filters,10.0,2,5.0
175,Knickers,15.0,3,5.0
176,Linear Motion Guides,10.0,2,5.0
177,Secondary Diaphragms,5.0,1,5.0
178,Indian Seasoning,20.0,4,5.0
179,Center Support Cushions,15.0,3,5.0
180,Focus Bags,25.0,5,5.0
181,Steel Wool,20.0,4,5.0
182,Potato Chips,20.0,4,5.0
183,Sierreno,5.0,1,5.0
184,Flat Belts,5.0,1,5.0
185,Adhesive Primers,5.0,1,5.0
186,Pin Locks,5.0,1,5.0
187,Esquivel,90.0,18,5.0
188,Idle Stops,10.0,2,5.0
189,Bandages,25.0,5,5.0
190,Chemical Anchors,10.0,2,5.0
191,Entropy,5.0,1,5.0
192,Jams & Preserves Gifts,15.0,3,5.0
193,Sports Science,40.0,8,5.0
194,Axle Damper & Kicker Shocks,60.0,12,5.0
195,Scuba & Snorkel,5.0,1,5.0
196,Filtering Microplates,10.0,2,5.0
197,Lab Trays,5.0,1,5.0
198,Piezo Transducers,5.0,1,5.0
199,Tumbas,30.0,6,5.0
200,Marzipan & Almond Paste,10.0,2,5.0
201,Stud Anchors,5.0,1,5.0
202,Charcoal Drawings,5.0,1,5.0
203,Oakland Raiders,5.0,1,5.0
204,Condenser Fan,30.0,6,5.0
205,Internal Gears,10.0,2,5.0
206,All Dog,5.0,1,5.0
207,Gasket Makers,5.0,1,5.0
208,Scanning Systems,25.0,5,5.0
209,International Law & Relations,5.0,1,5.0
210,Underwater Lighting,25.0,5,5.0
211,Party Games,20.0,4,5.0
212,Image Comics,10.0,2,5.0
213,Speaker Connectors,10.0,2,5.0
214,Oil Restrictors,10.0,2,5.0
215,Turbo Pressure,5.0,1,5.0
216,Goalkeeper Shafts,5.0,1,5.0
217,Dance Floors,35.0,7,5.0
218,Radial Shaft Seals,5.0,1,5.0
219,Jewel Bearings,15.0,3,5.0
220,Manual Assemblies,10.0,2,5.0
221,Atlanta Braves,10.0,2,5.0
222,Centerpiece Bowls,5.0,1,5.0
223,Hazelnuts,10.0,2,5.0
224,Thread Milling Taps,55.0,11,5.0
225,Luer-to-barbed Straight Fittings,5.0,1,5.0
226,Moisture Balances,10.0,2,5.0
227,Artificial Life,5.0,1,5.0
228,Rwanda & Uganda,15.0,3,5.0
229,Laundry Starch,15.0,3,5.0
230,Filtering Pipette Tips,5.0,1,5.0
231,Main Shaft,15.0,3,5.0
232,Split & Bifurcated Rivets,10.0,2,5.0
233,Sheet Music,5.0,1,5.0
234,Downrod Couplers,5.0,1,5.0
235,Electric Thermo-Cycling,5.0,1,5.0
236,Pet Decor,5.0,1,5.0
237,Branson,10.0,2,5.0
238,Armoires,5.0,1,5.0
239,Ring Gear,5.0,1,5.0
240,Drive Rollers & Contact Wheels,10.0,2,5.0
241,Green Beans,5.0,1,5.0
242,Air Hoists,5.0,1,5.0
243,E-Collar Accessories,5.0,1,5.0
244,Idler Arm Repair Kits,15.0,3,5.0
245,Primers & Drives,25.0,5,5.0
246,Optical Sensors,10.0,2,5.0
247,Regimental Histories,10.0,2,5.0
248,Baker's Yeast,5.0,1,5.0
249,Sleeve Stabilizers,30.0,6,5.0
250,Adjustable Handles,35.0,7,5.0
251,Idle Enrichment Valve,10.0,2,5.0
252,Bloody Mary,5.0,1,5.0
253,North Cascades,5.0,1,5.0
254,Hydroelectric,5.0,1,5.0
255,Liturgical Press,10.0,2,5.0
256,Washington Nationals,5.0,1,5.0
257,Classic Accessories Pets,25.0,5,5.0
258,Cut Signatures,5.0,1,5.0
259,EGR Time Delay,10.0,2,5.0
260,Solid-State Physics,25.0,5,5.0
261,Luer-to-threaded Panel Mount Fittings,10.0,2,5.0
262,iWork & Keynote,5.0,1,5.0
263,Lambda Control Units,10.0,2,5.0
264,Cold Fusion,15.0,3,5.0
265,Microprocessor Design,5.0,1,5.0
266,Landing Mats,10.0,2,5.0
267,Three-Ways,5.0,1,5.0
268,Light Cure Pens,15.0,3,5.0
269,Crushed,25.0,5,5.0
270,New Orleans,5.0,1,5.0
271,Bacon,5.0,1,5.0
272,Universal Pipette Tips,20.0,4,5.0
273,Pallie Bags,20.0,4,5.0
274,Chromatography IC Columns,5.0,1,5.0
275,Oyster,15.0,3,5.0
276,A.B.S Silver Label,10.0,2,5.0
277,Fire Hose Nozzles,10.0,2,5.0
278,Chromatography LC Columns,10.0,2,5.0
279,Sebastian,5.0,1,5.0
280,Gage Blocks,10.0,2,5.0
281,Betseyville,5.0,1,5.0
282,Resonator Bells,5.0,1,5.0
283,Square Nuts,30.0,6,5.0
284,Reengineering,5.0,1,5.0
285,Rocky Boot Company,5.0,1,5.0
286,Strength of Materials,5.0,1,5.0
287,Garam Masala,5.0,1,5.0
288,IGBT Transistors,5.0,1,5.0
289,Fan,5.0,1,5.0
290,Vent Control,15.0,3,5.0
291,Power Systems,5.0,1,5.0
292,Backhoes,5.0,1,5.0
293,Chromatography Sprayers,10.0,2,5.0
294,Blackjack Layouts,5.0,1,5.0
295,Gnocchi,10.0,2,5.0
296,Idle Speed Regulators,5.0,1,5.0
297,Broaches,5.0,1,5.0
298,Lab Coolers,5.0,1,5.0
299,Paper Plates,5.0,1,5.0
300,Timing Cover,25.0,5,5.0
301,Motion Actuated Switches,5.0,1,5.0
302,Trunk Lid Solenoid,10.0,2,5.0
303,Playbills,15.0,3,5.0
304,Auxiliary Valves,15.0,3,5.0
305,Purge,30.0,6,5.0
306,Blueprints,5.0,1,5.0
307,Thrust Roller Bearings,40.0,8,5.0
308,Novell Netware,5.0,1,5.0
309,Fire TV Power Adapters,15.0,3,5.0
310,Flower Containers,5.0,1,5.0
311,Figurines,10.0,2,5.0
312,Lemon Forks,5.0,1,5.0
313,Push Nuts,20.0,4,5.0
314,Cylinder Head Shim,5.0,1,5.0
315,TCP-IP,30.0,6,5.0
316,Helical Gears,5.0,1,5.0
317,Peeled,10.0,2,5.0
318,Foam,25.0,5,5.0
319,Colors In Optics,5.0,1,5.0
320,Door Jamb Courtesy Lamp,25.0,5,5.0
321,Belt & Chain Drive Enclosures,5.0,1,5.0
322,Manifold Temperature,20.0,4,5.0
323,Interdental Brushes,15.0,3,5.0
324,Libya,5.0,1,5.0
325,Food & Hydration Packs,25.0,5,5.0
326,Avocado,15.0,3,5.0
327,Tool Post Grinding Wheels,5.0,1,5.0
328,Exhaust Air Supply,10.0,2,5.0
329,Weights & Measures,5.0,1,5.0
330,Skid Steers,20.0,4,5.0
331,Abrasive Wheel Adapters & Flanges,5.0,1,5.0
332,Packing String,30.0,6,5.0
333,Special Needs Children,5.0,1,5.0
334,Pole Piece Assemblies,5.0,1,5.0
335,Stall & Muck Supplies,70.0,14,5.0
336,Microcapillary Pipettes,10.0,2,5.0
337,Spring Hinges,15.0,3,5.0
338,Vinyl Record Sleeves,10.0,2,5.0
339,Stirrer Accessories,5.0,1,5.0
340,Logic Gates,15.0,3,5.0
341,Carburetor Baffle Plate,5.0,1,5.0
342,Trinidad and Tobago,5.0,1,5.0
343,Drosophila Vials,20.0,4,5.0
344,Cards,55.0,11,5.0
345,The Nuttery,5.0,1,5.0
346,Lemons,5.0,1,5.0
347,Chinese Star Anise,10.0,2,5.0
348,Snagging Wheels,5.0,1,5.0
349,Internal Memory Card Readers,5.0,1,5.0
350,Rice,5.0,1,5.0
351,Spark Control,5.0,1,5.0
352,Push-In Plugs,15.0,3,5.0
353,Meeting Room Tables,5.0,1,5.0
354,Compressor Cut-Off,10.0,2,5.0
355,Flash,15.0,3,5.0
356,Dirty Rice,5.0,1,5.0
357,NBA,5.0,1,5.0
358,Luer Cap Fittings,10.0,2,5.0
359,Pecans,5.0,1,5.0
360,Amphibians,5.0,1,5.0
361,Chinese Five Spice,30.0,6,5.0
362,Car Covers,15.0,3,5.0
363,Decel Valves & Diaphragms,10.0,2,5.0
364,A-D & D-A Converters,5.0,1,5.0
365,Lab Showers,5.0,1,5.0
366,Jean Paul Gaultier,10.0,2,5.0
367,System Turn-On,5.0,1,5.0
368,Oxygen Sensor,5.0,1,5.0
369,Throttle Valves,5.0,1,5.0
370,Fabien Baron,10.0,2,5.0
371,United Arab Emirates,5.0,1,5.0
372,Universal Hose Fittings,30.0,6,5.0
373,Etching Plates,5.0,1,5.0
374,Pitman Shafts,5.0,1,5.0
375,Upper Body Pads,5.0,1,5.0
376,IO Modules,5.0,1,5.0
377,Track Runner Bearings,20.0,4,5.0
378,Music of the Spheres,10.0,2,5.0
379,Personal Narratives,15.0,3,5.0
380,Adhesive Bumpers,15.0,3,5.0
381,T Strainers,15.0,3,5.0
382,Eterna,5.0,1,5.0
383,Fusilli,15.0,3,5.0
384,Artwork By Celebrities,10.0,2,5.0
385,Band Hose Clamps,5.0,1,5.0
386,Notebooks,5.0,1,5.0
387,Blue Cheese,5.0,1,5.0
388,Defogger,5.0,1,5.0
389,Postcards & Index Cards,15.0,3,5.0
390,Wire Rope Eye Fittings,5.0,1,5.0
391,Luer-to-threaded Fittings,10.0,2,5.0
392,"Buy 1 Dog Puzzle, Save 20% on Kyjen Dog Toy",5.0,1,5.0
393,Axle Blocks,5.0,1,5.0
394,Non-Sports Cards,10.0,2,5.0
395,Engine Rev Limiters,5.0,1,5.0
396,Mechanical Seals,10.0,2,5.0
397,Cross Roller Guides,5.0,1,5.0
398,Sheaves,25.0,5,5.0
399,Gong Stands,15.0,3,5.0
400,Pulley Rims,5.0,1,5.0
401,Starters' Hearing Protectors,10.0,2,5.0
402,Legal Envelopes,5.0,1,5.0
403,Male Wing Knobs,5.0,1,5.0
404,LDAP,10.0,2,5.0
405,Bearing Hinges,5.0,1,5.0
406,Microfiber Cloths,10.0,2,5.0
407,Breaker Plate Assemblies,5.0,1,5.0
408,Paint Coveralls,5.0,1,5.0
409,Fuel Accumulators,15.0,3,5.0
410,Compression Fitting Nuts,5.0,1,5.0
411,Hatchbacks,10.0,2,5.0
412,Mississippi,5.0,1,5.0
413,Charging Station Accessories,15.0,3,5.0
414,Auxiliary Shafts,5.0,1,5.0
415,Bottle Pressure Gauges,5.0,1,5.0
416,Baseball Bases,5.0,1,5.0
417,Global Positioning Systems,5.0,1,5.0
418,Fajitas,15.0,3,5.0
419,Craps Tables,20.0,4,5.0
420,String & Twine,30.0,6,5.0
421,"Sauces, Rubs & Spices",5.0,1,5.0
422,Commercial Charbroilers,5.0,1,5.0
423,Loading Dock Levelers,10.0,2,5.0
424,Horizontal Electrophoresis Apparatus,5.0,1,5.0
425,Spanish & Mexican,5.0,1,5.0
426,Round Slings,15.0,3,5.0
427,Monterey,5.0,1,5.0
428,Cylindrical Grinding Wheels,15.0,3,5.0
429,Health & Nutrition,10.0,2,5.0
430,Change Gears,15.0,3,5.0
431,Equipment Travel Bags,5.0,1,5.0
432,Ear Clamps,70.0,14,5.0
433,Rope Seals,10.0,2,5.0
434,Curry Powder,70.0,14,5.0
435,Workholding Collets,35.0,7,5.0
436,Tea Plates,40.0,8,5.0
437,Idle Air Parts,5.0,1,5.0
438,Female Three Arm Knobs,10.0,2,5.0
439,Intermediate Shafts,5.0,1,5.0
440,PBT,5.0,1,5.0
441,Blumarine,10.0,2,5.0
442,Drive Gear,5.0,1,5.0
443,Personal Checks,5.0,1,5.0
444,Naval Operations,10.0,2,5.0
445,Taper Pins,10.0,2,5.0
446,Beveled Washers,15.0,3,5.0
447,Albuquerque,5.0,1,5.0
448,Flexible Support Arms,10.0,2,5.0
449,Auxiliary Air Supply,10.0,2,5.0
450,Industrial Polishing Stones,10.0,2,5.0
451,Heavy-Duty Thermals,5.0,1,5.0
452,Ziti,5.0,1,5.0
453,Idaho,15.0,3,5.0
454,Peanut Sauce,5.0,1,5.0
455,Rotors & Armatures,5.0,1,5.0
456,Lauren Ralph Lauren,10.0,2,5.0
457,Take-up Block Bearings,5.0,1,5.0
458,Pilot Bushings,10.0,2,5.0
459,"Extension, Pulley & Nut Taps",5.0,1,5.0
460,Fender Guards,5.0,1,5.0
461,Tubular & Semi-Tubular Rivets,10.0,2,5.0
462,Etro,10.0,2,5.0
463,Gardena Colourwave,10.0,2,5.0
464,THAKOON,5.0,1,5.0
465,Star Knobs,20.0,4,5.0
466,South Dakota,20.0,4,5.0
467,Sunroof,5.0,1,5.0
468,Chromatography,5.0,1,5.0
469,Filter Valves,10.0,2,5.0
470,Vacuum Pads,20.0,4,5.0
471,Cam Latches,10.0,2,5.0
472,Mop Paintbrushes,10.0,2,5.0
473,Piston Parts,30.0,6,5.0
474,Woodcuts,10.0,2,5.0
475,Structural Dynamics,5.0,1,5.0
476,Choreography,30.0,6,5.0
477,Stews,5.0,1,5.0
478,Crystallography,10.0,2,5.0
479,Hose Clamping Tools,15.0,3,5.0
480,Northern Ireland,5.0,1,5.0
481,Balkan Peninsula,10.0,2,5.0
482,UV-curable Adhesives,10.0,2,5.0
483,English Literature,5.0,1,5.0
484,Combination Drill & Taps,5.0,1,5.0
485,Notation,10.0,2,5.0
486,Kosher Salt,5.0,1,5.0
487,Steering Gear,10.0,2,5.0
488,BirdBrain,10.0,2,5.0
489,Gas Analyzers,20.0,4,5.0
490,Hypnotic,5.0,1,5.0
491,Solid State Physics,10.0,2,5.0
492,WAN,5.0,1,5.0
493,Cleveland Indians,5.0,1,5.0
494,Overdrive,25.0,5,5.0
495,Abrasive Collets,10.0,2,5.0
496,CATHERINE RAPETTI,5.0,1,5.0
497,Cell Culture Flasks,5.0,1,5.0
498,Replacement Mop Heads,5.0,1,5.0
499,LAN Stations,10.0,2,5.0
500,Neuropsychopharmacology,5.0,1,5.0
501,Fuel Solenoids,5.0,1,5.0
502,E-mail Servers,15.0,3,5.0
503,Construction Vehicles,5.0,1,5.0
504,Walk-In Bathtubs,10.0,2,5.0
505,Hi Pressure Side,5.0,1,5.0
506,Drum & Pail Mixers,15.0,3,5.0
507,Sounds,25.0,5,5.0
508,Seasons,94.0,19,4.947368421052632
509,Sandwich Spreads,79.0,16,4.9375
510,Food Additives,79.0,16,4.9375
511,Vibration Sensors,79.0,16,4.9375
512,Drill Blanks,79.0,16,4.9375
513,Bedskirts,79.0,16,4.9375
514,Emissions Analyzers,74.0,15,4.933333333333334
515,Printer Roll Holders,69.0,14,4.928571428571429
516,Bottletop Filters,64.0,13,4.923076923076923
517,Flat Servers,64.0,13,4.923076923076923
518,Bonsai Tweezers,59.0,12,4.916666666666667
519,Universe,59.0,12,4.916666666666667
520,Shaft Kits,54.0,11,4.909090909090909
521,Sealing Washers,54.0,11,4.909090909090909
522,Sorial,103.0,21,4.904761904761905
523,Convertible Top,103.0,21,4.904761904761905
524,Art & Music,49.0,10,4.9
525,Floor Toms,49.0,10,4.9
526,Clutch Cycle,49.0,10,4.9
527,Savory,49.0,10,4.9
528,Bass Drum,142.0,29,4.896551724137931
529,Lymphatic,186.0,38,4.894736842105263
530,Cylindrical Roller Bearings,44.0,9,4.888888888888889
531,Timmy Woods,44.0,9,4.888888888888889
532,Surrealism,44.0,9,4.888888888888889
533,Pressure Dampers,44.0,9,4.888888888888889
534,Ratchets & Pawls,44.0,9,4.888888888888889
535,Wire Rope Sleeves,44.0,9,4.888888888888889
536,Wiper Kits,44.0,9,4.888888888888889
537,Schottky Diodes,44.0,9,4.888888888888889
538,Aster,44.0,9,4.888888888888889
539,Clamp-On Couplings,44.0,9,4.888888888888889
540,Powder Actuated Fasteners,83.0,17,4.882352941176471
541,Splined Drives,122.0,25,4.88
542,Changing Table Pads & Covers,122.0,25,4.88
543,Souffle Cups,39.0,8,4.875
544,Rosemary,78.0,16,4.875
545,Oil Filter,117.0,24,4.875
546,Weld Nuts,39.0,8,4.875
547,Dried Seaweed & Nori,39.0,8,4.875
548,Brake Pressure,39.0,8,4.875
549,Ball Nose,39.0,8,4.875
550,Points & Condenser Kits,39.0,8,4.875
551,Cornets,39.0,8,4.875
552,OD Grinding Wheels,39.0,8,4.875
553,Drill Adapters,39.0,8,4.875
554,Forests & Trees,151.0,31,4.870967741935484
555,Study,336.0,69,4.869565217391305
556,Scooter,112.0,23,4.869565217391305
557,Flaw Detection Tools,73.0,15,4.866666666666666
558,Concert Snare Drums,107.0,22,4.863636363636363
559,Caries,34.0,7,4.857142857142857
560,Push-Button Vacuum Control,34.0,7,4.857142857142857
561,Clayboard,34.0,7,4.857142857142857
562,Labeling Supplies,34.0,7,4.857142857142857
563,Instrument Panel Dimmer,68.0,14,4.857142857142857
564,Railroad,68.0,14,4.857142857142857
565,Torsion Bar Mount Kits,34.0,7,4.857142857142857
566,Flange Nuts,34.0,7,4.857142857142857
567,Chili Mix,34.0,7,4.857142857142857
568,Fuel Injection Pressure,68.0,14,4.857142857142857
569,Lip Seals,34.0,7,4.857142857142857
570,Oil Pump,34.0,7,4.857142857142857
571,Clay Crafts,68.0,14,4.857142857142857
572,Genetically Engineered Food,330.0,68,4.852941176470588
573,EGR Valve Vacuum Solenoids,92.0,19,4.842105263157895
574,Retro,150.0,31,4.838709677419355
575,Cream of Tartar,150.0,31,4.838709677419355
576,Seat Belt Warning,29.0,6,4.833333333333333
577,Composition & Creative Writing,522.0,108,4.833333333333333
578,Chutneys,29.0,6,4.833333333333333
579,Lasers in Medicine,29.0,6,4.833333333333333
580,Indigenous Peoples,29.0,6,4.833333333333333
581,Luer Lock Rings,116.0,24,4.833333333333333
582,Roller Chain Couplings,29.0,6,4.833333333333333
583,Chromatography Paper,29.0,6,4.833333333333333
584,Mosaic,29.0,6,4.833333333333333
585,Resorcinol Adhesives,29.0,6,4.833333333333333
586,NCAA Spinners,29.0,6,4.833333333333333
587,Wrapping Paper,29.0,6,4.833333333333333
588,Chain Accessories,29.0,6,4.833333333333333
589,Enclosed,58.0,12,4.833333333333333
590,Taper Pin Reamers,29.0,6,4.833333333333333
591,Drag Mats,29.0,6,4.833333333333333
592,EGR Valve Position,290.0,60,4.833333333333333
593,Bases,29.0,6,4.833333333333333
594,Printer Staples,58.0,12,4.833333333333333
595,Traditional British & Celtic Folk,5271.0,1092,4.826923076923077
596,Putters & Clubs,82.0,17,4.823529411764706
597,Strut Rod Kits,82.0,17,4.823529411764706
598,Franchises,217.0,45,4.822222222222222
599,Digestive Aids,135.0,28,4.821428571428571
600,Cardamom Seed,53.0,11,4.818181818181818
601,Embryology,53.0,11,4.818181818181818
602,"Lifestyles, Cultures & Religions",53.0,11,4.818181818181818
603,Shoulder Screws,53.0,11,4.818181818181818
604,Drive Anchors,53.0,11,4.818181818181818
605,Codes & Standards,53.0,11,4.818181818181818
606,Marching Drumheads,183.0,38,4.815789473684211
607,Poison Ingestion Treatments,183.0,38,4.815789473684211
608,Balsamic,284.0,59,4.813559322033898
609,Pork Rinds,77.0,16,4.8125
610,Electrolyte Supplements,101.0,21,4.809523809523809
611,Ball Knobs,101.0,21,4.809523809523809
612,Female Ball Knobs,101.0,21,4.809523809523809
613,Peanut,125.0,26,4.8076923076923075
614,Thermistors,149.0,31,4.806451612903226
615,Mounting Arms,519.0,108,4.805555555555555
616,Wedging Boards & Angles,24.0,5,4.8
617,Tortillas,144.0,30,4.8
618,Crankcase Cover Gasket Sets,24.0,5,4.8
619,Malawi,48.0,10,4.8
620,Paint Curing Systems,24.0,5,4.8
621,Rocker Arm Stud Seal,24.0,5,4.8
622,Seltzer & Tonic Water,24.0,5,4.8
623,Cylinders & Accessories,24.0,5,4.8
624,Changeling,48.0,10,4.8
625,C-Washers,24.0,5,4.8
626,Hydraulic Lifting Cylinders,24.0,5,4.8
627,Case Savers,24.0,5,4.8
628,Male Knurled Knobs,48.0,10,4.8
629,Hepatitis,72.0,15,4.8
630,Insects & Insect Kits,24.0,5,4.8
631,Centerless Grinding Wheels,24.0,5,4.8
632,Ground Resistance Meters,24.0,5,4.8
633,Clutch Bells,72.0,15,4.8
634,Bay Lighting,48.0,10,4.8
635,Decade Boxes,24.0,5,4.8
636,Semi-Circular Plug,24.0,5,4.8
637,Louisiana,72.0,15,4.8
638,Greenland,24.0,5,4.8
639,Pin Links,24.0,5,4.8
640,Birding,360.0,75,4.8
641,T-Ball Bats,566.0,118,4.796610169491525
642,Jewish & Yiddish Music,724.0,151,4.7947019867549665
643,Green Thumb,8169.0,1704,4.794014084507042
644,Panel Doors,91.0,19,4.7894736842105265
645,Ecstasy Tests,91.0,19,4.7894736842105265
646,Web Slings,91.0,19,4.7894736842105265
647,Sweet Basil Leaf,67.0,14,4.785714285714286
648,Camshaft,67.0,14,4.785714285714286
649,Rock Salt,469.0,98,4.785714285714286
650,Subwoofer Cables,14647.0,3062,4.78347485303723
651,Pedal Bags & Cases,110.0,23,4.782608695652174
652,Job Ticket Holders,373.0,78,4.782051282051282
653,Ice Axes,306.0,64,4.78125
654,Honky-Tonk,1386.0,290,4.779310344827586
